"Asia/Hong_Kong","HKT","HKT","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Australian_Eastern_Standard_Time","AEST","AEST","AEST","AEST","+10:00:00","+01:00:00","1;0;10","+02:00:00","1;0;4","+03:00:00"
"Eastern_Time","EST","Eastern Standard Time","EDT","Eastern Daylight Time","-05:00:00","+01:00:00","2;0;3","+02:00:00","1;0;11","+02:00:00"
"UTC","UTC","UTC","","","+00:00:00","+00:00:00","","","","+00:00:00"
